,Wavelength (nm),10.54,2.34,3.51,4.68,5.85,7.03,8.2,9.37
22,970.7453204953811,-0.530121661763545,1.9741886613618644,1.7024435922401993,-0.5228888544383298,-0.524376452931714,-0.5240584293283042,-0.5261335767996124,-0.5271602706215732
23,973.3205603308047,-0.5323181697323309,2.0677732303783958,1.673331272892001,-0.5255597133750293,-0.5266285984688042,-0.5264955497287359,-0.5268326707995499,-0.5297699994622319
24,975.8938810439133,-0.5344071526350986,,1.811770375506144,-0.5271715532025946,-0.5306095509080254,-0.5270344099291743,-0.528484012449517,-0.5317033470415152
25,979.7502637592353,-0.5379063097456621,2.0213816349818075,1.795125976485506,-0.5290175687424066,-0.5305268170547129,-0.5280861459661798,-0.5304443432538443,-0.53390765348713
26,982.3187866665556,-0.5397552380233975,3.3720831085742526,1.7327886499421834,-0.5290500582960204,-0.5277869940672928,-0.5295291676815769,-0.5325606573787696,-0.5369906099867819
27,986.167972673195,-0.5416109589329089,1.859109481242252,1.7453784485262889,-0.529115732278336,-0.5333159907577767,-0.5309967958562678,-0.5344335217844571,-0.5392071612560628
28,988.7316977747273,-0.5436402005063413,2.3090214855015896,1.743331985609062,-0.5301717451530635,-0.533795520043309,-0.533192372306836,-0.5365141813648132,-0.5402580827490363
29,992.5736870726846,-0.5466344092314172,2.3930317341449303,1.7311468466168771,-0.5321650817583827,-0.5337899980230685,-0.5351271655200999,-0.5386805500082723,-0.5417675959655021
30,995.1326143684288,-0.5484499090421188,2.445849914443888,1.598298996659038,-0.5332577263889121,-0.535958242791926,-0.5371366172161807,-0.5404532910799333,-0.5448185029329436
31,997.6896225418576,-0.5502595833468759,2.6546675697686144,1.6297516979639708,-0.535258791307019,-0.5384554954623659,-0.5390031016122806,-0.5420936183898453,-0.5464694274958695
32,1001.5215364476596,-0.5515649199509606,2.171547170532497,1.7092699609758308,-0.5364921121908095,-0.5422295904979212,-0.5398463984580196,-0.5437359443861656,-0.5485413056347832
33,1004.0737468153004,-0.5525047009822,2.989894563718773,1.7007261874325372,-0.5382560786701422,-0.542546037521928,-0.541126449535418,-0.5457364517145946,-0.5502855647920938
34,1007.8984640124202,-0.5524190685954943,2.1711197225529992,1.6817200386569517,-0.5385233985198693,-0.5402557381007448,-0.5428606555739803,-0.547633319266719,-0.5511702266927041
35,1010.4458765742728,-0.553466158383969,2.1457773739862738,1.6899391010376408,-0.5386054692402908,-0.5455599276393828,-0.544721953609386,-0.5489781135354938,-0.5520439409004585
36,1014.2633970627103,-0.5543425157587184,2.3790597154669197,1.681407793267141,-0.5404762625838994,-0.5457635425697893,-0.5465206077662383,-0.5499005271543779,-0.551975282422492
37,1016.8060118187746,-0.5542221790467777,2.0672693998216847,1.6819701233904325,-0.5418771796000388,-0.5458317734295041,-0.5483313962939573,-0.5513741110336795,-0.5529966754443723
38,1019.3467074525237,-0.5538776349967268,2.1691639516415804,1.6818400165713685,-0.5428599921613075,-0.5474121464887484,-0.5490528909333682,-0.5515816748161043,-0.5536206118087686
